epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5982,1.62917,2.91284,1.2726,0.59803,0.25455,0.3482,0.15888,1.59406,2.89915,1.16658,0.000657895,0.000657895,0.000657895
2,47.4176,1.63768,2.04362,1.21841,0.47943,0.56939,0.45785,0.19408,1.74128,2.47399,1.40339,0.00129178,0.00129178,0.00129178
3,89.508,1.62475,1.79436,1.28546,0.4014,0.61818,0.45576,0.21032,1.64568,3.44963,1.48615,0.00189266,0.00189266,0.00189266
4,134.505,1.62839,1.76231,1.36192,0.82387,0.6,0.65999,0.29438,1.7958,1.81984,1.65675,0.0018515,0.0018515,0.0018515
5,179.439,1.63096,1.62428,1.33475,0.61862,0.58993,0.61429,0.27538,1.85865,1.93132,1.52455,0.001802,0.001802,0.001802
6,225.495,1.57457,1.51604,1.28875,0.71814,0.70909,0.70312,0.35013,1.63623,1.72928,1.54652,0.0017525,0.0017525,0.0017525
7,274.22,1.55111,1.38662,1.29553,0.71324,0.70909,0.70182,0.32844,1.86046,1.81364,1.69546,0.001703,0.001703,0.001703
8,323.098,1.62944,1.43978,1.37081,0.86291,0.69091,0.76069,0.40091,1.67571,1.66725,1.49003,0.0016535,0.0016535,0.0016535
9,369.261,1.5351,1.27653,1.27677,0.8422,0.74545,0.79964,0.40042,1.7136,1.43096,1.49097,0.001604,0.001604,0.001604
10,413.683,1.63309,1.25323,1.32326,0.84696,0.69091,0.77573,0.34662,1.66043,1.49258,1.47899,0.0015545,0.0015545,0.0015545
11,459.014,1.58938,1.29624,1.28252,0.89994,0.67273,0.77902,0.3811,1.69862,1.44423,1.42714,0.001505,0.001505,0.001505
12,506.686,1.5311,1.23095,1.27078,0.87224,0.62073,0.74861,0.37572,1.65008,1.53177,1.44624,0.0014555,0.0014555,0.0014555
13,553.279,1.50911,1.16647,1.26245,0.8743,0.69091,0.76568,0.40252,1.65017,1.36585,1.54991,0.001406,0.001406,0.001406
14,600.099,1.38199,1.0786,1.21391,0.84494,0.65455,0.73771,0.3918,1.68254,1.38282,1.47928,0.0013565,0.0013565,0.0013565
15,649.034,1.495,1.13236,1.22654,0.94953,0.68426,0.83478,0.44962,1.56924,1.17405,1.43764,0.001307,0.001307,0.001307
