epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,698.072,1.4634,1.06565,1.24294,0.81876,0.74545,0.74332,0.36466,1.77504,1.31843,1.49464,0.0012575,0.0012575,0.0012575
17,742.647,1.44487,1.04458,1.23526,0.86821,0.70909,0.77298,0.40029,1.56228,1.25948,1.42406,0.001208,0.001208,0.001208
18,787.815,1.43606,1.00637,1.20788,0.82626,0.74545,0.79779,0.39396,1.57216,1.27156,1.39899,0.0011585,0.0011585,0.0011585
19,833.78,1.36757,1.00146,1.1809,0.84794,0.70909,0.75468,0.40644,1.62495,1.1991,1.41554,0.001109,0.001109,0.001109
20,881.703,1.3773,0.94918,1.19249,0.87011,0.73081,0.78261,0.42155,1.60802,1.17375,1.46086,0.0010595,0.0010595,0.0010595
21,927.665,1.3509,0.92783,1.1905,0.87055,0.74545,0.79583,0.39309,1.69966,1.13456,1.52341,0.00101,0.00101,0.00101
22,975.622,1.31436,0.92551,1.18956,0.83963,0.72727,0.79654,0.40217,1.66835,1.18255,1.47897,0.0009605,0.0009605,0.0009605
23,1024.52,1.28258,0.85068,1.11888,0.80387,0.74523,0.79021,0.42905,1.67345,1.08177,1.48002,0.000911,0.000911,0.000911
24,1072.4,1.34947,0.90406,1.15979,0.86198,0.72727,0.78543,0.40823,1.65726,1.15381,1.38855,0.0008615,0.0008615,0.0008615
25,1116.87,1.3269,0.92592,1.1531,0.86646,0.70785,0.78882,0.42107,1.59842,1.09342,1.41254,0.000812,0.000812,0.000812
26,1162.17,1.29404,0.85399,1.15164,0.82394,0.74545,0.78465,0.43772,1.58351,1.05271,1.43916,0.0007625,0.0007625,0.0007625
27,1209.4,1.33515,0.89627,1.17344,0.77129,0.76364,0.78367,0.40678,1.65194,1.06731,1.43591,0.000713,0.000713,0.000713
28,1235.96,1.28615,0.90674,1.10935,0.81924,0.74167,0.82929,0.47199,1.50679,0.97806,1.40929,0.0006635,0.0006635,0.0006635
29,1257.53,1.31275,0.84537,1.15434,0.84004,0.76389,0.8174,0.47059,1.58398,0.97849,1.46333,0.000614,0.000614,0.000614
30,1301.65,1.24149,0.79234,1.09682,0.86898,0.72727,0.80782,0.45376,1.54991,1.03326,1.41296,0.0005645,0.0005645,0.0005645
31,1349.75,1.23101,0.83246,1.13279,0.84445,0.78971,0.79994,0.42689,1.59847,1.016,1.46729,0.000515,0.000515,0.000515
32,1398.06,1.22381,0.79817,1.09501,0.80068,0.8,0.83372,0.45707,1.65686,0.97597,1.57592,0.0004655,0.0004655,0.0004655
33,1444.02,1.19293,0.79893,1.08698,0.89474,0.8,0.85462,0.43081,1.62987,0.99311,1.47179,0.000416,0.000416,0.000416
34,1488.07,1.19126,0.77883,1.09014,0.82641,0.8,0.83585,0.4368,1.64092,1.02736,1.46068,0.0003665,0.0003665,0.0003665
35,1532.8,1.17752,0.76157,1.09764,0.84744,0.8,0.84181,0.46186,1.58786,0.98166,1.42932,0.000317,0.000317,0.000317
36,1579.5,1.14339,0.75568,1.07299,0.85929,0.77728,0.83419,0.46423,1.59917,0.9727,1.48376,0.0002675,0.0002675,0.0002675
37,1625.79,1.1437,0.72792,1.07602,0.85956,0.779,0.83145,0.46145,1.62569,0.95066,1.50416,0.000218,0.000218,0.000218
38,1671.78,1.14447,0.69513,1.06378,0.87528,0.76561,0.82905,0.46364,1.61139,0.93457,1.49346,0.0001685,0.0001685,0.0001685
39,1720.01,1.08679,0.69284,1.06622,0.84384,0.78603,0.83003,0.46208,1.59404,0.96386,1.46452,0.000119,0.000119,0.000119
40,1768.37,1.11778,0.71536,1.0683,0.8606,0.78577,0.83158,0.46188,1.59566,0.9655,1.46518,6.95e-05,6.95e-05,6.95e-05
