epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1978,1.61629,2.9039,1.29266,0.43377,0.13952,0.21187,0.08115,1.68893,3.09474,1.44551,0.000657895,0.000657895,0.000657895
2,43.6997,1.69408,2.00783,1.34095,0.56203,0.58182,0.54874,0.25572,1.70469,2.24004,1.50679,0.00129178,0.00129178,0.00129178
3,64.967,1.64895,1.92254,1.37031,0.75006,0.54564,0.63853,0.27728,1.8834,2.49969,1.7179,0.00189266,0.00189266,0.00189266
4,86.1847,1.66769,1.76594,1.3534,0.58456,0.6,0.56521,0.26531,1.6293,3.20393,1.49865,0.0018515,0.0018515,0.0018515
5,107.466,1.62198,1.7143,1.35622,0.53961,0.63636,0.57799,0.29683,1.72592,3.36672,1.59698,0.001802,0.001802,0.001802
6,128.616,1.59936,1.56266,1.31198,0.63208,0.65597,0.64193,0.33951,1.66815,1.93899,1.48411,0.0017525,0.0017525,0.0017525
7,149.937,1.63513,1.52926,1.30399,0.55518,0.67273,0.51601,0.24823,1.70991,1.82376,1.4202,0.001703,0.001703,0.001703
8,171.137,1.55969,1.40252,1.33614,0.72877,0.61818,0.68496,0.30754,1.80277,1.57896,1.57617,0.0016535,0.0016535,0.0016535
9,192.35,1.50087,1.33003,1.27864,0.79981,0.72727,0.76177,0.34668,1.78581,1.55554,1.55134,0.001604,0.001604,0.001604
10,213.497,1.59477,1.30993,1.32469,0.81105,0.65455,0.75532,0.37879,1.63229,1.42186,1.49951,0.0015545,0.0015545,0.0015545
11,234.555,1.50244,1.23975,1.271,0.732,0.74493,0.74933,0.35955,1.74281,1.43428,1.49667,0.001505,0.001505,0.001505
12,259.364,1.54377,1.16841,1.27955,0.72626,0.69091,0.74704,0.36996,1.71588,1.45072,1.43896,0.0014555,0.0014555,0.0014555
13,280.922,1.56106,1.19779,1.30544,0.77977,0.72727,0.77481,0.39724,1.65123,1.26586,1.39387,0.001406,0.001406,0.001406
14,302.313,1.48192,1.12515,1.21771,0.75365,0.74545,0.73132,0.37308,1.60613,1.43355,1.38708,0.0013565,0.0013565,0.0013565
15,323.608,1.49196,1.14164,1.27147,0.86011,0.72727,0.81001,0.42685,1.59029,1.29433,1.36496,0.001307,0.001307,0.001307
16,344.93,1.43356,1.04658,1.22953,0.81054,0.77789,0.81114,0.37174,1.73627,1.28636,1.43007,0.0012575,0.0012575,0.0012575
17,366.222,1.41362,1.04207,1.21783,0.71839,0.76364,0.73636,0.40587,1.51299,1.29151,1.39164,0.001208,0.001208,0.001208
18,387.924,1.42652,1.04712,1.22843,0.90343,0.70909,0.80796,0.45262,1.51108,1.20622,1.39818,0.0011585,0.0011585,0.0011585
19,409.172,1.40109,1.0318,1.24692,0.81902,0.70909,0.79923,0.43057,1.58541,1.14895,1.46589,0.001109,0.001109,0.001109
20,430.745,1.38423,0.94888,1.19612,0.83799,0.75244,0.82348,0.44589,1.61588,1.1393,1.3836,0.0010595,0.0010595,0.0010595
21,451.72,1.32676,0.94088,1.20122,0.82588,0.77624,0.80636,0.45893,1.58073,1.09119,1.4602,0.00101,0.00101,0.00101
22,472.995,1.36894,0.96219,1.19064,0.87044,0.81818,0.84405,0.43811,1.6215,1.08327,1.49803,0.0009605,0.0009605,0.0009605
23,494.207,1.25132,0.85709,1.14172,0.89116,0.74438,0.83007,0.44373,1.55515,1.10875,1.39195,0.000911,0.000911,0.000911
24,515.453,1.32366,0.88396,1.1711,0.92314,0.76364,0.83468,0.46888,1.49591,1.13391,1.35643,0.0008615,0.0008615,0.0008615
25,553.056,1.30696,0.87157,1.16453,0.90459,0.76364,0.85694,0.45926,1.49736,1.05005,1.34432,0.000812,0.000812,0.000812
26,599.98,1.28494,0.85678,1.1585,0.92064,0.74545,0.8486,0.46176,1.53265,1.0094,1.35355,0.0007625,0.0007625,0.0007625
27,648.122,1.30749,0.85808,1.18819,0.85518,0.78182,0.82243,0.4503,1.53123,1.06814,1.40073,0.000713,0.000713,0.000713
28,697.613,1.29205,0.80952,1.18526,0.88963,0.8,0.85519,0.45189,1.52927,1.05076,1.41281,0.0006635,0.0006635,0.0006635
29,741.339,1.22352,0.80882,1.16196,0.89289,0.75793,0.8566,0.43319,1.55368,1.05189,1.43711,0.000614,0.000614,0.000614
30,787.049,1.23624,0.81535,1.13799,0.93303,0.76364,0.86207,0.43663,1.60506,1.02677,1.44531,0.0005645,0.0005645,0.0005645
31,832.545,1.22925,0.80866,1.14943,0.78066,0.78182,0.81023,0.41038,1.61041,1.03733,1.43278,0.000515,0.000515,0.000515
32,878.459,1.2306,0.8142,1.14183,0.85688,0.78182,0.81084,0.4319,1.59102,0.98494,1.4692,0.0004655,0.0004655,0.0004655
33,922.049,1.21563,0.76066,1.1442,0.84861,0.81541,0.84572,0.43796,1.62061,0.97677,1.47028,0.000416,0.000416,0.000416
34,969.192,1.21592,0.74195,1.15622,0.85506,0.8,0.87357,0.46432,1.54798,0.98205,1.43404,0.0003665,0.0003665,0.0003665
35,1015.62,1.19049,0.74381,1.11773,0.8401,0.81818,0.87043,0.46044,1.51217,0.94284,1.41774,0.000317,0.000317,0.000317
36,1061.65,1.14087,0.72609,1.10506,0.78254,0.78521,0.81947,0.45829,1.55262,0.92575,1.44593,0.0002675,0.0002675,0.0002675
37,1104.69,1.14941,0.70988,1.11095,0.85868,0.77342,0.84817,0.48289,1.51801,0.9357,1.43024,0.000218,0.000218,0.000218
38,1148.85,1.11643,0.70548,1.07613,0.87326,0.8,0.83951,0.46785,1.51085,0.92801,1.42972,0.0001685,0.0001685,0.0001685
39,1193.69,1.1131,0.6928,1.11761,0.87526,0.8,0.83958,0.45752,1.51407,0.91783,1.43913,0.000119,0.000119,0.000119
40,1234.56,1.08885,0.67669,1.09365,0.87479,0.8,0.84111,0.46466,1.50256,0.90586,1.44222,6.95e-05,6.95e-05,6.95e-05
